Ni (mole %),Er (mole %),Zr (mole %),Y (mole %),Yb (mole %),L1_2 (mole %),Misfit,Coarsening rate,Diffusion Resistivity,Orowan Stress
1.627358415,1.840712145,1.400988982,0.152457325,0.820608048,7.1434574,0.6543608,0.865287583,0.8967472,767.8776
0.208323956,1.191716116,0.757418115,0.5226733,0.713759899,5.0312014,0.72546726,1.628442781,1.5222342,538.67523
0.049955683,0.632904373,1.321218754,0.837772526,0.049144449,2.5452812,0.62942547,0.589365667,0.6349906,330.97775
0.730183112,0.102156994,1.320722066,0.309457618,0.386610496,0.7755065,0.66315305,0.973419652,0.99543554,158.11014
1.663387555,1.45941732,1.022664298,0.751986094,0.285727842,5.492937,0.691112,1.014143878,0.9951257,611.9789
2.269816652,0.017507552,1.06256483,0.263497753,0.487375243,0.1390986,0.6413714,0.835159778,0.88305295,62.55281
2.726792925,1.376593214,1.047939326,0.121452949,0.84424996,5.745912,0.6702995,1.025079388,1.0370876,656.25775
1.443287195,1.636457447,0.329996922,0.380473251,0.582861069,4.9658294,0.84990746,9.78757481,7.8096256,553.3921
0.708403155,1.80198801,1.031676102,0.896760653,0.215014337,6.3167543,0.730356,1.392488004,1.2929558,667.27344
2.355093936,0.930300206,1.719380257,0.453235864,0.395874247,3.9676626,0.67124635,0.919496721,0.92895573,494.79178
3.530419896,1.770004338,1.829259733,0.753019532,0.970147534,7.889802,0.679602,1.018632368,1.0164583,957.08093
1.55966313,0.346545865,0.954763379,0.130392378,0.731781236,2.8469656,0.6462091,0.864197902,0.90691566,365.33655
1.720317168,1.520686114,1.567129025,0.663754758,0.328263508,6.174639,0.64879197,0.717462448,0.74992955,684.24146
2.905185015,0.405695346,0.805868472,0.699637316,0.232190549,1.8260932,0.6808533,1.035333786,1.0312254,285.61304
1.06930811,0.774003319,0.648400938,0.838385989,0.57201177,3.725956,0.6898692,1.159207812,1.1395184,442.30835
0.966144375,1.302738671,0.503914894,0.292089012,0.156971731,3.823248,0.7660395,2.242640221,1.9853415,441.17825
1.740825728,1.049945453,1.328165081,0.357890112,0.351846719,4.3636584,0.66279674,0.83466923,0.8540058,510.12592
0.743556737,0.353154651,1.362067947,0.039274589,0.332950481,1.7757143,0.6675741,1.03057635,1.0469055,262.39062
2.75234773,1.343025526,0.711859469,0.45081379,0.407584267,4.855677,0.7425175,1.757240072,1.6049119,569.4713
1.99266706,0.263565726,0.515489368,0.671050573,0.451777814,1.7526864,0.6798784,1.102744051,1.0999432,267.38846
